id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3827,975,97501,1,LENORMAND,Stéphane,M.,DVD,Divers droite
3828,975,97501,2,BEAUMONT,Frédéric,M.,SOC,Parti socialiste
3829,975,97501,3,CHAGNON,Patricia,Mme,RN,Rassemblement National
3830,975,97501,4,LETOURNEL,Marion,Mme,FI,La France insoumise
3831,975,97501,5,LEBAILLY,Patrick,M.,DVG,Divers gauche
3832,976,97601,1,SAIFY,Mikhaël,M.,EXG,Extrême gauche
3833,976,97601,2,YOUSSOUFFA,Estelle,Mme,DVD,Divers droite
3834,976,97601,3,SAID,Kambi Said,M.,DVD,Divers droite
3835,976,97601,4,MAILLARD,Aurélia,Mme,REC,Reconquête !
3836,976,97602,1,MORENO,Manon,Mme,REC,Reconquête !
3837,976,97602,2,ADACOLO,Kira Bacar,M.,DVG,Divers gauche
3838,976,97602,3,SAÏD-SOUFFOU,Soula,M.,DVC,Divers centre
3839,976,97602,4,SALIME,Ahumad,M.,DIV,Divers
3840,976,97602,5,KAMARDINE,Mansour,M.,LR,Les Républicains
3841,976,97602,6,MADI MARI,Madi-Boinamani,M.,DVC,Divers centre
3842,976,97602,7,HENRY,Daniel Martial,M.,DVD,Divers droite
3843,976,97602,8,BAMANA,Anchya,Mme,RN,Rassemblement National
3844,986,98601,1,TOKOTUU,Otilone,M.,DVD,Divers droite
3845,986,98601,2,KANIMOA NÉE TAGANE,Lavinia,Mme,DVD,Divers droite
3846,986,98601,3,TIALETAGI EPOUSE VERGE,Lauriane,Mme,DVC,Divers centre
3847,986,98601,4,SEO,Mikaele,M.,ENS,Ensemble ! (Majorité présidentielle)
3848,987,98701,1,LE GAYIC,Tematai,M.,REG,Régionaliste
3849,987,98701,2,BRYANT,Jacky,M.,ECO,Ecologistes
3850,987,98701,3,FREBAULT,Moerani,M.,DVD,Divers droite
3851,987,98701,4,HEAUX,James,M.,RN,Rassemblement National
